SEMANAS	Aluno Presente	Redação  Paulista	Tarefa SP	Alura	Matematica Gameficada	Leia SP	Apoio Presencial	Índice de Vulnerabilidade	NOTA FINAL
SEMANA 00	82,10%	0	0	0	0,092	0	0	0,472	1,7
SEMANA 01	84,20%	0	5,18	0	2,445	0	0	0,472	4,8
SEMANA 02	80,40%	0,013	6,548	0	2,303	0,002	0	0,472	4,9
SEMANA 03	80,70%	0,008	6,547	0,02	4,267	0,009	0,2	0,472	5,1
SEMANA 04	81,20%	0,331	6,574	0,002	3,918	0,031	5	0,472	7,1
SEMANA 05	80,70%	0,246	7,707	0,146	5,436	0,022	3,6	0,472	7,8
SEMANA 06	81,20%	0,149	4,669	0,2	9	0,04	2,4	0,472	7
SEMANA 07	82,20%	0,008	5,36	0,273	4,175	0,68	2,2	0,472	7
SEMANA 08	82,40%	0,86	10,509	0,18	6,002	0,042	5,2	0,472	8
SEMANA 09	84,50%	0,505	2,485	0,059	4,13	0,149	1,8	0,472	7,1
SEMANA 10	82,70%	0,165	6,112	0,209	4,961	0,123	6,6	0,472	8,4
SEMANA 11	89,90%	1,153	3,026	0,163	3,812	0,053	3,2	0,472	7,4
